Appelation courante;Description;Historique/Anecdotes;Commune;Entité;Adresse actuelle;Latitude;Longitude;Photographies;r_Photographies
Ensemble de grilles du n°190 rue de Gesves;"Cantonnée par des piliers calcaire, grille d'entrée caractérisée par les initiales "" P "" et "" G "", dont les barreaux à pointe sinueuse sont doublés dans la partie basse. De part et d'autre, sur des murets, grilles aux barreaux de même type.  ";"Ernest Pinchart-Gouy est un cultivateur originaire de Liernu. Il s'installe à Ohey vers 1900, restaure la ferme et lui donne son allure actuelle : remaniement de la façade d'entrée par l'ajout d'une tour, grilles, ... Il décède en 1923. Son fils (né à Liernu le 16-9-1899), également nommé Ernest, lui succède. Il épouse Eva Guiot.   
Source ?

Ces grilles sont de même facture que celles présentes au château de Baya.
Dans la cour de cette ancienne ferme, on voit la date "" 1823 "" au mur de la grange, de même que les initiales "" C L F "", probablement celles de Charles Lefêbvre, ancien propriétaire.
Témoignage : Jean Degrune";Ohey;Ohey;Rue de Gesves, 190;50.42791;5.120971;Ohey-Cat10.2-EnsembleGrillesGesves190-JD-01àOhey-Cat10.2-EnsembleGrillesGesves190-JD-05;
Ensemble de grilles du n°200 rue du Berger;Précédée d'un jardinet grillagé, maison en double corps datée de 191(4?) en haut de la façade revêtue d'un cimentage décoratif. Grilles décorées du motif spirale très en vogue dans l'Art Déco (1920-1930). ;Non vérifié;Ohey;Ohey;Rue du Berger, 200;50.430011;5.124856;Photos manquantes;
Ensemble de grilles du n°202 rue du Berger;"Précédée d'un joli jardinet grillagé, maison en double corps datée de 1906 en haut de la façade revêtue d'un cimentage décoratif. Conservation d'anciennes menuiseries en bois dont une belle porte d'entrée surmontée de l'inscription "" ALP "". ";Non vérifié;Ohey;Ohey;Rue du Berger, 202;50.429844;5.123488;Ohey-Cat10.2-EnsembleGrillesBerger202-JD-01Ohey-Cat10.2-EnsembleGrillesBerger202-JD-02;Ohey-Cat10.2-EnsembleGrillesBerger202-JD
Ensemble de grilles du n°6 rue de l'église;De chaque côté de cette ancienne maison, belles grilles d'entrée en fer forgé de conception identique. Beau jeu de volutes au niveau de la frise. Sur le côté droit de l'habitation, grille d'entrée accompagnée d'une grille toute simple sur muret. ;Pas d'information trouvée;Ohey;Haillot;Rue de l'église,6;50.440905;5.149222;Haillot-Cat10.2-EnsembleGrillesEglise6-AF-01Haillot-Cat10.2-EnsembleGrillesEglise6-AF-02Haillot-Cat10.2-EnsembleGrillesEglise6-AF-03;Haillot-Cat10.2-EnsembleGrillesEglise6-AF
Ensemble de grilles du n°9 rue de l'église ;""" Implantée en retrait d’une courette limitée à rue par des grilles sur muret, maison bourgeoise de style néo-classique édifiée au milieu du 19e siècle, à proximité des églises. Elégants pilastres d’entrée (...) ""IPIC : 92097-INV-0080-01 Ensemle de grilles dont les éléments sont scellés au plomb. Tous les barreaux sont pourvus de fers de lance au sommet. ";""" Implantée en retrait d’une courette limitée à rue par des grilles sur muret, maison bourgeoise de style néo-classique édifiée au milieu du 19e siècle, à proximité des églises. Elégants pilastres d’entrée annonçant le double corps élevé sur deux niveaux et demi montés sur caves protégées de belles ferronneries. Toit d’asbesteciment à deux versants à petites croupes. Précédée d’un emmarchement, large porte rectangulaire et baies dégressives de même type, pignons et façade arrière munis d’un oeil de boeuf. CS ""
IPIC : 92097-INV-0080-01";Ohey;Haillot;Rue de l'église, 9 ;50.440615;5.14943;Haillot-Cat10.2-EnsembleGrillesEglise9-AF-01Haillot-Cat10.2-EnsembleGrillesEglise9-AF-02Haillot-Cat10.2-EnsembleGrillesEglise9-AF-03Haillot-Cat10.2-EnsembleGrillesEglise9-AF-04;Haillot-Cat10.2-EnsembleGrillesEglise9-AF
Ensemble de grilles du n°91 rue du Tilleul;"Dans l'axe de la porte du logis de la ferme, grille d'entrée à deux battants, entourée de chaque côté par un muret en grès, surmonté d'un grillage et cantonné de piliers de même matériau. Ensemble des barreaux décorés à leur sommet d'un motif  "" coup de fouet "" typique de l'Art Nouveau.";Pas d'information trouvée;Ohey;Ohey;Rue du Tilleul, 91;50.437232;5.120411;Ohey-Cat10.2-EnsembleGrillesTilleul91-AD-01Ohey-Cat10.2-EnsembleGrillesTilleul91-AD-02Ohey-Cat10.2-EnsembleGrillesTilleul91-AD-03Ohey-Cat10.2-EnsembleGrillesTilleul91-AD-04;Ohey-Cat10.2-EnsembleGrillesTilleul91-AD
Epi de faîtage de l'ancienne écurie Rosoux;Epi de faîtage lancé pourvu de détails décoratifs, situé à la pointe de la tour qui cantonne, à gauche, l'ancienne écurie de l'ex-propriété Rosoux dont le logis, investi par l'administration communale depuis 1986,  est repris à l'Inventaire du Patrimoine Immobilier Culturel (IPIC) à la référence 92097-INV-0104-01.;"L'ancienne maison Rosoux était dénommée Villa Groynne, du nom de la famille qui l'a fait bâtir en 1895 grâce à la vente de leurs actions des chemins de fer en Russie. Par héritage, elle passa à Juliette Groynne (fille de Léon et de Félicie Monjoie), épouse d'André Rosoux. Le 18 juin 1986, la Commune d'Ohey a acheté le bien (3 Ha, 7 A, 8 Ca) à Etienne Rosoux pour 3.756.380 francs.
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, p.14.";Ohey;Ohey;Rue du Tilleul, 95;50.436491;5.120495;Ohey-Cat10.1-EpiFaîtageEcurieRosoux-AD-01Ohey-Cat10.1-EpiFaîtageEcurieRosoux-AD-02Ohey-Cat10.1-EpiFaîtageEcurieRosoux-AD-03;Ohey-Cat10.1-EpiFaîtageEcurieRosoux-AD
Epi de faîtage du n°7 rue du Moulin;Epi élancé situé au sommet de la façade.;"Bâtiment construit par M. Lambert dit Mi’in. "" Peintre de profession, il créa le premier « brico-center »  de la région (...) Après son décès, la vente à la criée (du bâtiment) dura deux jours et laissa Lucien Balthasar (instituteur-commissaire-priseur) aphone et exténué. Cet immeuble fut ensuite aménagé par les époux Copois en un café et une salle de cinéma « Cinélux » qui présentait des films variés, différents du registre du cinéma « Familia » qui lui était soumis à la sélection du clergé. "" 
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, édition Syndicat d'Initiative d'Ohey, 1998, p.21.

"" Ce bâtiment a servi durant un moment de local pour les répétitions de la Fanfare. ""
Témoignage oral d'Annie Dermiens.";Ohey;Ohey;Rue du Moulin, 7;50.435956;5.125104;Ohey-Cat10.1-EpisFaîtageMoulin7-AD-01Ohey-Cat10.1-EpisFaîtageMoulin7-AD-02;Ohey-Cat10.1-EpisFaîtageMoulin7-AD
Epis de faîtage de la ferme de Petit Wallay;""" Isolée au milieu des terres, ferme clôturée en brique et pierre calcaire du milieu du 19e siècle où le corps de logis de style néo-classique retient l’attention. Jadis blanchie, imposante habitation en brique et calcaire coiffée d’un toit à deux versants à croupes, très plat, piqué d’épis de faîtage. (...)  ""IPIC : 92097-INV-0041-02";"La ferme de Petit Wallay faisait partie de la vaste propriété de la famille Van der Straeten, dont les de Monge (propriétaires actuels du château de Wallay) sont les héritiers. 

Dans la cour de cette ferme, il y avait un puits circulaire surmonté d'un treuil et d'une petite toiture. Il fonctionnait encore au temps de l'exploitation de la propriété par la famille Duffert.
Témoignage oral : Albert Franchimont";Ohey;Ohey;Rue Bois d’Ohey, 322;50.43509;5.10476;Ohey-Cat10.1-EpisFaîtageFermePetitWallay-AF-01Ohey-Cat10.1-EpisFaîtageFermePetitWallay-AF-02Ohey-Cat10.1-EpisFaîtageFermePetitWallay-OG-01;Ohey-Cat10.1-EpisFaîtageFermePetitWallay-AF
Epis de faîtage du manoir Dutillieux;Visibles depuis la chaussée de Ciney, deux gros épis de faîtage sphèriques situés sur la toiture d'un bâtiment annexe de la propriété Dutillieux;"Cette propriété fut jadis un relais postal. Une pierre datée de 1777 (ndlr: de remploi ?) est visible sur le  bâtiment situé du côté gauche de la cour (au fond de celle-ci, existe un four à pain).  Un millésime "" 1912 "" est visible à l'arrière du logis et correspond à la transformation des lieux "" en manoir "" opérée par Maurice Dutilleux, qui habitait Bruxelles mais résidait au manoir l'été. 
Témoignage oral : Thierry Vanesse

Maurice Dutilleux est un fils d'Auguste Dutillieux (1815-1889). Ce dernier remplissait plusieurs fonctions à Ohey: instituteur, secrétaire et receveur communal, secrétaire du bureau de bienfaisance. Il avait trois enfants : Hélène (1870-1958) qui, après ses études primaires à l’école du village, poursuit ses études à l‘Institut des Sœurs à Champion puis épousa Ernest Froidebise- Ernest et Maurice, universitaires, l’un médecin et l’autre ingénieur ayant eu une très brillante carrière notamment au Chili dans le groupe Empain. A la fin de sa vie, Maurice fut directeur de la Cie belge des Chemins de Fer réunis et président de la Cie du Chemin de Fer du Katanga.";Ohey;Ohey;Rue Pierre Froidebise, 64;50.43537;5.123873;Ohey-Cat10.1-EpisFaîtageManoirDutilleux-AD-01Ohey-Cat10.1-EpisFaîtageManoirDutilleux-AD-02Ohey-Cat10.1-EpisFaîtageManoirDutilleux-AD-03;Ohey-Cat10.1-EpisFaîtageManoirDutilleux-AD
Epis de faîtage du n°259 rue Marteau;Sur les toitures de cette ancienne ferme, on peut observer deux types d'épis.;Pas d'information trouvée;Ohey;Ohey;Rue Marteau, 260;50.438778;5.123471;Ohey-Cat10.1-EpisFaîtageMarteau259-AD-01Ohey-Cat10.1-EpisFaîtageMarteau259-AD-02Ohey-Cat10.1-EpisFaîtageMarteau259-AD-03;Ohey-Cat10.1-EpisFaîtageMarteau259-AD
Epis de faîtages de l'ancienne maison Rosoux;Deux épis de faîtages en pierre cacaire, chacun composé d'une sphère sur socle, surmontent les lucarnes pignons des travées latérales de la façade principale. ;""" Précédée d’une cour limitée d’un muret surmonté de grilles ouvragées, maison bourgeoise de style éclectique élevée en 1895, aujourd’hui investie par les services communaux (…) "" 
IPIC 92097-INV-0104-03

L'ancienne maison Rosoux était dénommée Villa Groynne, du nom de la famille qui l'a fait bâtir en 1895 grâce à la vente de leurs actions des chemins de fer en Russie. Par héritage, elle passa à Juliette Groynne (fille de Léon et de Félicie Monjoie), épouse d'André Rosoux. Le 18 juin 1986, la Commune d'Ohey a acheté le bien (3 Ha, 7 A, 8 Ca) à Etienne Rosoux pour 3.756.380 francs.
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, p.14.";Ohey;Ohey;Rue du Tilleul, 95;50.436491;5.120495;Ohey-Cat18-EpisFaîtagesMaisonRosoux-AD-01Ohey-Cat18-EpisFaîtagesMaisonRosoux-AD-02Ohey-Cat18-EpisFaîtagesMaisonRosoux-AD-03;Ohey-Cat18-EpisFaîtagesMaisonRosoux-AD
Epis de faîtages de l'église Saint-Pierre;Sur les toitures d'ardoises de l'église, huit lucarnes à croupes sont équipées d'épis identiques, du type poinçon tronconique à bulbe.;""" Implantée au coeur stratégique du village, à proximité de la maison communale, de l’école et de la cure, église de style néo-gothique construite en 1890 par l’architecte Hellepute. Vaste édifice de plan principalement basilical, équipé d’une tour campanile (...) ""
IPIC 92097-INV-0052-02

Le 15 juillet 1889, la première pierre de l'église fut posée  par le bourgmestre Francis de Monge. Le montant fut adjugé à 60.539 francs. En remerciement, les paroissiens ont organisé une manifestation populaire grandiose en l’honneur du bourgmestre.
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, p.153.";Ohey;Ohey;Place Roi Baudouin, église;50.435667;5.120934;Ohey-Cat10.1-EpisFaîtageEgliseStPierre-AD-01Ohey-Cat10.1-EpisFaîtageEgliseStPierre-AD-02Ohey-Cat10.1-EpisFaîtageEgliseStPierre-AD-03;Ohey-Cat10.1-EpisFaîtageEgliseStPierre-AD
Garde-corps du parvis de l'église Saint-Lambert;Garde-corps en fer forgé surmontant le mur de soutènement du parvis de l'église.;Terrain de jeux pour les jeunes, j'ai moi-même escaladé de nombreuses fois ce garde-corps et l'arbre juste à côté.;Ohey;Perwez;Rue curé Binet, 25;50.453018;5.171421;Perwez-Cat10.2-Garde-corpsParvisEglise-AF-01Perwez-Cat10.2-Garde-corpsParvisEglise-AF-02Perwez-Cat10.2-Garde-corpsParvisEglise-AF-03Perwez-Cat10.2-Garde-corpsParvisEglise-AF-04;Perwez-Cat10.2-Garde-corpsParvisEglise-AF
Garde-corps sur le ruisseau du Lilot ;Deux beaux garde-corps anciens empêchant la chute dans le ruisseau du Lilot;"La voie ferrée qui reliait Ohey à Huy, en passant par Solières, se situait parallèlement au cours du Lilot.
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, p. 34.

Le Lilot traverse des endroits fangeaux au Trou Motroûle. Le 14 novembre 1944, une bombe volante V1 s'y est enfoncée. Grâce au sol marécageux, les dégâts se sont limités à des bris de vitres à 500 m à la ronde.
Source : article d'Adolphe Ronveaux dans le journal "" La petite Gazette "" , sd.";Ohey;Haillot;Rue de l'église + à la hauteur du n°104;50.442026;5.148369;Haillot-Cat10.2-GardeCorpsEgliseLilot-AF-01Haillot-Cat10.2-GardeCorpsEgliseLilot-AF-02Haillot-Cat10.2-GardeCorpsEgliseLilot-AF-03;Haillot-Cat10.2-GardeCorpsEgliseLilot-AF
Girouette de la ferme de Petit Wallay;"Girouette en zinc "" Isolée au milieu des terres, ferme clôturée en brique et pierre calcaire du milieu du 19e siècle où le corps de logis de style néo-classique retient l’attention. Jadis blanchie, imposante habitation en brique et calcaire coiffée d’un toit à deux versants à croupes, très plat, piqué d’épis de faîtage. (...)  ""IPIC : 92097-INV-0041-02";"La ferme de Petit Wallay faisait partie de la vaste propriété de la famille Van der Straeten, dont les de Monge (propriétaires actuels du château de Wallay) sont les héritiers. 

Dans la cour de cette ferme, il y avait un puits circulaire surmonté d'un treuil et d'une petite toiture. Il fonctionnait encore au temps de l'exploitation de la propriété par la famille Duffert.
Témoignage oral : Albert Franchimont";Ohey;Ohey;Rue Bois d’Ohey, 322;50.43509;5.10476;Ohey-Cat7.5-GirouetteFermePetitWallay-AF-01Ohey-Cat7.5-GirouetteFermePetitWallay-AF-02Ohey-Cat7.5-GirouetteFermePetitWallay-OG-01;Ohey-Cat7.5-GirouetteFermePetitWallay-AF
Girouette du Manoir Dutillieux (1);"Girouette située sur une tour érigée à l'arrière du logis. La partie mobile, en forme de ""drapeau"", était vitrée. Une boule désigne l'origine du vent.  ";"Cette propriété fut jadis un relais postal. Une pierre datée de 1777 (ndlr: de remploi ?) est visible sur le  bâtiment situé du côté gauche de la cour (au fond de celle-ci, existe un four à pain).  Un millésime "" 1912 "" est visible à l'arrière du logis et correspond à la transformation des lieux "" en manoir "" opérée par Maurice Dutilleux, qui habitait Bruxelles mais résidait au manoir l'été. 
Témoignage oral : Thierry Vanesse

Maurice Dutilleux est un fils d'Auguste Dutillieux (1815-1889). Ce dernier remplissait plusieurs fonctions à Ohey: instituteur, secrétaire et receveur communal, secrétaire du bureau de bienfaisance. Il avait trois enfants : Hélène (1870-1958) qui, après ses études primaires à l’école du village, poursuit ses études à l‘Institut des Sœurs à Champion puis épousa Ernest Froidebise- Ernest et Maurice, universitaires, l’un médecin et l’autre ingénieur ayant eu une très brillante carrière notamment au Chili dans le groupe Empain. A la fin de sa vie, Maurice fut directeur de la Cie belge des Chemins de Fer réunis et président de la Cie du Chemin de Fer du Katanga. 
";Ohey;Ohey;Rue Pierre Froidebise, 64;50.435405;5.122659;Ohey-Cat7.5-Girouette1ManoirDutilleux-AD-01Ohey-Cat7.5-Girouette1ManoirDutilleux-AD-02;Ohey-Cat7.5-Girouette1ManoirDutilleux-AD
Girouette du Manoir Dutillieux (2);"Girouette située sur le bâtiment à gauche de la cour, sur un joli bulbe ardoisé. La partie mobile, en forme de ""drapeau"", était vitrée.";"Cette propriété fut jadis un relais postal. Une pierre datée de 1777 (ndlr: de remploi ?) est visible sur le  bâtiment situé du côté gauche de la cour (au fond de celle-ci, existe un four à pain).  Un millésime "" 1912 "" est visible à l'arrière du logis et correspond à la transformation des lieux "" en manoir "" opérée par Maurice Dutilleux, qui habitait Bruxelles mais résidait au manoir l'été. 
Témoignage oral : Thierry Vanesse

Maurice Dutilleux est un fils d'Auguste Dutillieux (1815-1889). Ce dernier remplissait plusieurs fonctions à Ohey: instituteur, secrétaire et receveur communal, secrétaire du bureau de bienfaisance. Il avait trois enfants : Hélène (1870-1958) qui, après ses études primaires à l’école du village, poursuit ses études à l‘Institut des Sœurs à Champion puis épousa Ernest Froidebise- Ernest et Maurice, universitaires, l’un médecin et l’autre ingénieur ayant eu une très brillante carrière notamment au Chili dans le groupe Empain. A la fin de sa vie, Maurice fut directeur de la Cie belge des Chemins de Fer réunis et président de la Cie du Chemin de Fer du Katanga. ";Ohey;Ohey;Rue Pierre Froidebise, 64;50.435405;5.122659;Ohey-Cat7.5-Girouette2ManoirDutilleux-AD-01Ohey-Cat7.5-Girouette2ManoirDutilleux-AD-02;Ohey-Cat7.5-Girouette2ManoirDutilleux-AD
Girouette du n°60 rue Stocus;Girouette élancée, ornée d'un petit drapeau au sommet et de volutes sur la base, située sur la dépendancee de la maison (fin 18esiècle). Habitation reprise par l' Inventaire du Patrmoine Immobilier Culturel sour la référence 92097-INV-0004-02.;Cette girouette se trouve sur le toit de l'ancienne école d'Haillot.;Ohey;Haillot;Rue  Stocus, 60;50.440199;5.148834;Haillot-Cat7.5-GirouetteStocus60-AF-01Haillot-Cat7.5-GirouetteStocus60-AF-02;Haillot-Cat7.5-GirouetteStocus60-AF
Girouette du n°90 rue du Tilleul;""" Etabli en retrait de la voirie et entouré d’un jardin clos de haies, logis de ferme, de style éclectique, daté de 1912 dans un cartouche (...) Travée centrale traitée en frontispice et ponctuée d’un fronton triangulaire piqué d’une girouette (...) "" IPIC : 92097-INV-0107-01";Récente (Source: propriétaire);Ohey;Ohey;Rue du Tilleul, 90;50.437456;5.12069;Ohey-Cat7.5-GirouetteTilleul90-AD-01Ohey-Cat7.5-GirouetteTilleul90-AD-02Ohey-Cat7.5-GirouetteTilleul90-AD-03;Ohey-Cat7.5-GirouetteTilleul90-AD
Girouette sur garde-corps du château de Wallay;"Girouette en forme de ""drapeau"" fixée sur un poteau d'angle d'un garde-corps carré installé sur la toiture de l'élégante tour du château construite vers 1891.";Le château a été construit dans le dernier quart du 18e s. par le baron Antoine van der Straten. Il a été modernisé en style néo-gothique vers 1890 à la demande du châtelain Francis de Monge : tour, transformation d'une aile en chapelle, ajout de pignons à gradins, réamenagement des façades avant et arrière. Le plan de la tour date de novembre 1891, il a été réalisé par Julien Dony, ingénieur-architecte à Louvain  et élève de Joris Helleputte, architecte de l’église d’Ohey. ;Ohey;Ohey;Rue de Gesves, 191;50.423711;5.111324;Ohey-Cat7.5-GirouetteChâteauWallay-AD-01Ohey-Cat7.5-GirouetteChâteauWallay-AD-02Ohey-Cat7.5-GirouetteChâteauWallay-AD-03;Ohey-Cat7.5-GirouetteChâteauWallay-AD
Grande croix  de la chapelle Saint-Mort;""" A un croisement de route, chapelle composite d’une nef d’une travée reliée par des pans courbes à une abside semi-circulaire précédée d’une travée droite légèrement plus basse. (...)  Oculus et clocheton en brique surmonté d’une courte flèche de 1904. (...) ""IPIC : 92097-INV-0039-02 Croix en fer située sur la flèche du clocheton. Eléments soudés. Réalisation ou restauration récente.";"Saint Mort  (parfois écrit saint Maur) est invoqué pour les maux de dents, pour les pierres et hernies, l'apoplexie, la paralysie, la gravelle et pour les enfants étant en retard ou ayant des difficultés pour marcher. Vénéré dans tout le Condroz, spécialement avant la Guerre 1914-1918, saint Mort fait toujours l'objet aujourd'hui d'une procession qui se fête le 1er dimanche du mois d'août. Sur le choeur de la chapelle, on trouve d'émouvantes inscriptions gravées durablement sur l'essentage en zinc. Par contre, à l'intérieur, les ex-voto (plaques avec remerciements au saint, béquilles, chaussons,...) ont été enlevés dans passé par ""mesure d'hygiène"". A l'intérieur, vous n'y trouverez plus non plus la statue du saint (XVIIe s.) ni l'autel ni les anciens bancs (XVIIIe s.), tout cela a été volé en septembre 1996.     
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, pp. 147, 152.";Ohey;Ohey;Rue Saint-Mort et rue de la Chapelle + au croisement;50.460778;5.144437;Haillot-Cat2.1-Croix1ChapelleStMort-AF-01Haillot-Cat2.1-Croix1ChapelleStMort-AF-02;
Grille de rampe de l'escalier menant à la sacristie de l'église Saint-Pierre;"Grillage fixé le long de l'escalier et son perron, composé de barreaux recourbés en "" crosse d'évêque "" sous la main courante et présentant deux sections torsadées, en sens inverse. Au bas de l'escalier, la main courante est incurvée et se termine par une boule.  ";""" Implantée au coeur stratégique du village, à proximité de la maison communale, de l’école et de la cure, église de style néo-gothique construite en 1890 par l’architecte Hellepute. Vaste édifice de plan principalement basilical, équipé d’une tour campanile (...) ""
IPIC 92097-INV-0052-02

Le 15 juillet 1889, la première pierre de l'église fut posée  par le bourgmestre Francis de Monge. Le montant fut adjugé à 60.539 francs. En remerciement, les paroissiens ont organisé une manifestation populaire grandiose en l’honneur du bourgmestre.
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, p.153.";Ohey;Ohey;Place Roi Baudouin, église + à l'arrière;50.435916;5.121444;Ohey-Cat10.2-GrilleRampeEscalieSacristieEgliseStPierre-AD-01jusqu'àOhey-Cat10.2-GrilleRampeEscalieSacristieEgliseStPierre-AD-05;
Grille de rampe de l'escalier menant à la tourelle de l'église Saint-Pierre;"Grille jadis fixée le long de l'escalier et son perron, composée de barreaux recourbés en "" crosse d'évêque "" sous la main courante et présentant des sections torsadées, en sens inverse, en haut et en bas.";""" Implantée au coeur stratégique du village, à proximité de la maison communale, de l’école et de la cure, église de style néo-gothique construite en 1890 par l’architecte Hellepute. Vaste édifice de plan principalement basilical, équipé d’une tour campanile (...) ""
IPIC 92097-INV-0052-02

Le 15 juillet 1889, la première pierre de l'église fut posée  par le bourgmestre Francis de Monge. Le montant fut adjugé à 60.539 francs. En remerciement, les paroissiens ont organisé une manifestation populaire grandiose en l’honneur du bourgmestre.
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, p.153.";Ohey;Ohey;Place Roi Baudouin, église + à l'arrière;50.435916;5.121444;Ohey-Cat10.2-GrilleRampeEscalierTourelleEglise-AD-01Ohey-Cat10.2-GrilleRampeEscalierTourelleEglise-AD-02Ohey-Cat10.2-GrilleRampeEscalierTourelleEglise-AD-03Ohey-Cat10.2-GrilleRampeEscalierTourelleEglise-AD-04;Ohey-Cat10.2-GrilleRampeEscalierTourelleEglise-AD
Grille de rampe d'escalier et décrottoir du n°232 chaussée de Ciney;Grille légère et sobrement décorée, en harmonie avec le perron qu'elle intègre. Décrottoir tout simple fixé sur la première marche.;Pas d'information trouvée;Ohey;Ohey;Rue de Ciney, 232;50.437336;5.12296;Ohey-Cat10.2-GrilleRampeEtDécrottoirCiney232-AD-01Ohey-Cat10.2-GrilleRampeEtDécrottoirCiney232-AD-02;Ohey-Cat10.2-GrilleRampeEtDécrottoirCiney232-AD
Grille de soupirail du n° 22 route de Huy;Grille de soupirail comportant 13 barreaux verticaux, échancrés au sommet, fixés sur une traverse;""" Ce hameau (Matagne) au sud de la localité s'est installé sur le 1er tige condruzien. Il est très ancien puisque le diverticulum romain Huy-Dinant le traversait et que dans sa plaine, en 1932, une campagne de fouilles révèle l'existence d'un cimetière mérovingien - 17 tombes (...) plusieurs habitations et fermes du début du XVIIIe siècle, offrent encore de magnifiques portes en façade (...) Enfin, l'endroit s'appelait encore "" Al Baurire "" : sur cette route importante, on percevait encore l'octroi en 1852 ! "" 
Source : article d'Adolphe Ronveaux dans le journal  "" La petite Gazette "" , sd.  ";Ohey;Haillot;Route de Huy, 22;50.438434;5.156668;Haillot-Cat10.2-GrilleSoupirailHuy22-MT-01Haillot-Cat10.2-GrilleSoupirailHuy22-MT-02Haillot-Cat10.2-GrilleSoupirailHuy22-MT-03;Haillot-Cat10.2-GrilleSoupirailHuy22-MT
Grille d'entrée du chemin de l'ancien château de Béthune;Route de Huy, à l'entrée du chemin qui menait au château des comtes de Béthune, disparu, belle grille d'entrée avec jeu de volutes élaboré, entourée de piliers sommés de vases d’amortissements appuyés de courts murets dont un seul conserve une frise en ferronnerie. Datation du début du 20e siècle.;Non vérifié;Ohey;Ohey;Route de Huy;50.431371;5.130535;Photos manquantes;
Grille d'entrée du cimetière;Grille à double battants. Cimetière repris à l'IPIC sous la référence 92097-INV-0098-01;""" Légèrement à l’écart du centre du village, cimetière enclos de murs en brique, centré sur un monument commémoratif érigé par la commune d’Ohey à ses glorieux enfants morts pour la Patrie lors des deux Guerres mondiales, orné à l’arrière de la Flamme éternelle. Le long des allées, principalement le long des murs, monuments en calcaire de diverses inspirations : néo-gothique, néoclassique, rustique ou encore chapelle dont l’intérieur est conçu en rocaille. Angles à rue marqués par une importante chapelle funéraire ponctuée d’un dôme et à l’opposé, un monument de grande famille de facture plus simple. CS ""
IPIC : 92097-INV-0098-01";Ohey;Ohey;Rue Marteau + cimetière;50.439998;5.12969;Ohey-Cat10.2-GrilleEntréeCimetière-AF-01àOhey-Cat10.2-GrilleEntréeCimetière-AF-04;
Grille d'entrée du cimetière ;Grille à deux battants, sommée d'une croix et décorée de fers de lance. Barreaux doublés dans la partie basse.;""" Dominant le centre du village où pointe l’église paroissiale, cimetière ceinturé de murs en moellons de calcaire qui s’accroche sur le versant du ruisseau de Lilot. Rendu à la nature depuis peu, cimetière qui abrite les monuments principaux en calcaire, de diverses inspirations, le long des murs - y subsistent quelques croix en fonte et deux chapelles funéraires jouxtant l’ancienne entrée, en contrebas. CS ""
IPIC : 92097-INV-0093-01";Ohey;Haillot;Rue de l'église + en face du n°11;50.440698;5.15113;Haillot-Cat10.2-GrilleCimetière-MT-01Haillot-Cat10.2-GrilleCimetière-MT-02       ;Haillot-Cat10.2-GrilleCimetière-MT
Grille d'entrée du Manoir Dutillieux;Portail à deux battants, cantonné par des piliers sommés de glands décoratifs et protégés par des chasse-roues. Le tout en calcaire. Grillage sobre avec frise incurvée, à barreaux pointus et montants garnis de bourgeons. Nouvelles fixations et portail motorisé.;"Cette propriété fut jadis un relais postal. Une pierre datée de 1777 (ndlr: de remploi ?) est visible sur le  bâtiment situé du côté gauche de la cour (au fond de celle-ci, existe un four à pain).  Un millésime "" 1912 "" est visible à l'arrière du logis et correspond à la transformation des lieux "" en manoir "" opérée par Maurice Dutilleux, qui habitait Bruxelles mais résidait au manoir l'été. 
Témoignage oral : Thierry Vanesse

Maurice Dutilleux est un fils d'Auguste Dutillieux (1815-1889). Ce dernier remplissait plusieurs fonctions à Ohey: instituteur, secrétaire et receveur communal, secrétaire du bureau de bienfaisance. Il avait trois enfants : Hélène (1870-1958) qui, après ses études primaires à l’école du village, poursuit ses études à l‘Institut des Sœurs à Champion puis épousa Ernest Froidebise- Ernest et Maurice, universitaires, l’un médecin et l’autre ingénieur ayant eu une très brillante carrière notamment au Chili dans le groupe Empain. A la fin de sa vie, Maurice fut directeur de la Cie belge des Chemins de Fer réunis et président de la Cie du Chemin de Fer du Katanga. ";Ohey;Ohey;Rue Pierre Froidebise, 64;50.435405;5.122659;Ohey-Cat10.2-GrilleEntréeManoirDutilleux-AD-01Ohey-Cat10.2-GrilleEntréeManoirDutilleux-AD-02;Ohey-Cat10.2-GrilleEntréeManoirDutilleux-AD
